Method,Average,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD,CIFAR10,CIFAR100,FashionMNIST,EMNIST,KMNIST,FER2013,STL10,OxfordIIITPet,Flowers102,Food101,PCAM,RenderedSST2,Weather,Vegetables,MangoLeafBD,Landscapes,Beans,IntelImages,Garbage,Kvasir,KenyanFood13,Dogs
Individual,0.9359015614,0.8200503778,0.9235169755,0.9733333333,0.9937037037,0.9812154272,0.9920823436,0.9974,0.8457446809,0.991,0.919,0.955,0.998,0.987,0.748,0.994,0.953,0.871,0.935,0.891,0.843,0.949,0.999,1,0.956,0.969,0.956,0.979,0.907,0.88,0.87
Zeroshot,0.6302666667,0.669,0.72,0.653,0.47,0.561,0.532,0.637,0.542,0.935,0.731,0.636,0.215,0.084,0.38,0.989,0.927,0.734,0.892,0.542,0.667,0.71,0.793,0.347,0.928,0.492,0.918,0.722,0.205,0.622,0.655
Average,0.782125,0.71,0.798,0.811,0.893,0.777,0.691,0.961,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
