Method,Average,SUN397,Cars,RESISC45,EuroSAT,SVHN,GTSRB,MNIST,DTD
Individual,0.9408808553,0.8200503778,0.9235169755,0.9733333333,0.9937037037,0.9812154272,0.9920823436,0.9974,0.8457446809
Zeroshot,0.598,0.669,0.72,0.653,0.47,0.561,0.532,0.637,0.542
Average,0.782125,0.71,0.798,0.811,0.893,0.777,0.691,0.961,0.616
